alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,mean,sigma,rre_sd,acc_sd,nmi_sd
ModifiedNMF,20,0,0.21591101371401122,0.16952117863720073,0.22660128047015546,0.0,0.0,0.0008148022191076906,0.014377620806100796,0.011308174380922366
ModifiedNMF,20,1,0.1823579982927282,0.16611418047882137,0.2265481871566961,0.0,5.0,0.0006916574746830691,0.002864149358194441,0.012797226116278114
ModifiedNMF,20,2,0.16791992705476683,0.1639963167587477,0.2345414941301971,0.0,10.0,0.0004544781853637612,0.007260692960112121,0.01575885498885049
ModifiedNMF,20,3,0.16239515368911,0.1634438305709024,0.21599192384433116,0.0,15.0,0.0003666007102913142,0.006379560985520726,0.009770189609793197
ModifiedNMF,20,4,0.1540423607485614,0.17108655616942908,0.22373992511709423,0.0,20.0,0.00031615242869914253,0.004813381229718275,0.015710483866525477
ModifiedNMF,20,5,0.1621471666260893,0.18066298342541437,0.2437918675185689,0.0,25.0,0.00033665528662812997,0.011378622601533583,0.02612370020157777
ModifiedNMF,20,6,0.15627056881678508,0.1807550644567219,0.25281924424183766,0.0,30.0,0.00028235561940899114,0.00812324850735515,0.013549093933015047
ModifiedNMF,20,7,0.16462473371942948,0.18268876611418045,0.23876956406909305,0.0,35.0,0.000248732508792163,0.00886444341497768,0.014031878293371677
ModifiedNMF,20,8,0.16531979688143048,0.17458563535911603,0.24357272043922298,0.0,40.0,0.00020916053214068794,0.004224703405876418,0.012145154541876304
ModifiedNMF,20,9,0.16698006378191935,0.1742173112338858,0.23277162694590287,0.0,45.0,0.0001986246282644571,0.01265318685305,0.016065808632064783
NmfHyperEstimator,20,0,0.32221892149730824,0.15156537753222837,0.1937047326925465,0.0,0.0,0.15808486698699106,0.04179606597255533,0.06351005598335056
NmfHyperEstimator,20,1,0.18528895516015384,0.17338858195211784,0.2280753374710415,0.0,5.0,0.001447306975343532,0.010105866966997201,0.011864344809164378
NmfHyperEstimator,20,2,0.1733598165161873,0.16500920810313074,0.21658506520342224,0.0,10.0,0.00705364738946461,0.013898593857372035,0.020219465176446627
NmfHyperEstimator,20,3,0.24729550146728307,0.12808471454880294,0.15709882123799299,0.0,15.0,0.16158129420663983,0.027419050191323433,0.054319509139897706
NmfHyperEstimator,20,4,0.17184788811307683,0.11187845303867403,0.124194611483654,0.0,20.0,0.00764958869825907,0.021040566026270448,0.034941419987688856
NmfHyperEstimator,20,5,0.1831857073101453,0.09419889502762432,0.09811081688496257,0.0,25.0,0.0034722136928019794,0.009968595655782219,0.01526063209343862
NmfHyperEstimator,20,6,0.17626913506435138,0.08213627992633518,0.07455290240550046,0.0,30.0,0.0010083386553536695,0.004564749376775485,0.010803263271978033
NmfHyperEstimator,20,7,0.1835524622715243,0.08093922651933702,0.06636563544202709,0.0,35.0,0.0015252670381362078,0.005263540547708213,0.008850740380622484
NmfHyperEstimator,20,8,0.18106639418511192,0.07863720073664825,0.07155244315675748,0.0,40.0,0.0006097117816684042,0.0034820755803294723,0.007736111204695646
NmfHyperEstimator,20,9,0.18069823526080936,0.07642725598526703,0.06710731329329356,0.0,45.0,0.0011816481802566716,0.0015948902463801772,0.004881729239258116
NmfL1Estimator,20,0,0.3327150037620528,0.08904235727440146,0.09005231490566437,0.0,0.0,0.0005075579399652498,0.0022927991893165224,0.005727965850631709
NmfL1Estimator,20,1,0.2957274491104408,0.08462246777163904,0.08427849582262628,0.0,5.0,0.00215135278216287,0.0023790074922216994,0.00934434995794901
NmfL1Estimator,20,2,0.2842577037958208,0.08360957642725599,0.08667805936852042,0.0,10.0,0.0033506022657658332,0.004047901407059533,0.0058672894957782365
NmfL1Estimator,20,3,0.27341596270641516,0.08314917127071823,0.08457296551372186,0.0,15.0,0.004754072608108211,0.0022223790766385224,0.00472987985405571
NmfL1Estimator,20,4,0.28994778469523375,0.08149171270718232,0.07751072635958581,0.0,20.0,0.01071881591294257,0.003852025904853022,0.005436058840805056
NmfL1Estimator,20,5,0.29406978110187626,0.08149171270718233,0.07342321251654112,0.0,25.0,0.0022968736644498307,0.0029659527455628797,0.0020082371654760157
NmfL1Estimator,20,6,0.26656087395197764,0.08029465930018416,0.07916638003424867,0.0,30.0,0.000522930059305433,0.001969544165396633,0.0039002695544382744
NmfL1Estimator,20,7,0.2639503970149105,0.08001841620626152,0.07665243273003472,0.0,35.0,0.0009704441224935326,0.0031797968047572803,0.002366788091808072
NmfL1Estimator,20,8,0.2506749143968813,0.08149171270718232,0.07569764078158611,0.0,40.0,0.000799141778419407,0.0019802774555807098,0.004900293226089431
NmfL1Estimator,20,9,0.24271328503716944,0.08250460405156537,0.07681844028532518,0.0,45.0,0.0005918967879767645,0.003146289054009188,0.004843340555488667
NmfL2Estimator,20,0,0.22278227197742662,0.18848987108655618,0.24800852403329804,0.0,0.0,0.0010229268372166616,0.009867074374955204,0.010103160989866416
NmfL2Estimator,20,1,0.18913530953799493,0.1872007366482505,0.2540299497196591,0.0,5.0,0.0006796975275905512,0.008493196138620483,0.007346019186560226
NmfL2Estimator,20,2,0.1759634694472277,0.17744014732965008,0.24282968668746663,0.0,10.0,0.0006998090823091903,0.005153659417663245,0.010387901158326048
NmfL2Estimator,20,3,0.1698854029257785,0.16519337016574584,0.2257451599434725,0.0,15.0,0.0006988742230865762,0.0031462890540091878,0.010834343817798332
NmfL2Estimator,20,4,0.16209270118910019,0.15607734806629833,0.21171277358278048,0.0,20.0,0.00046537216345193106,0.00713256601511495,0.006241358804531133
NmfL2Estimator,20,5,0.17019251556160384,0.15138121546961325,0.1911421326402905,0.0,25.0,0.00035388927814835507,0.006847511028573932,0.011258128438239
NmfL2Estimator,20,6,0.16445832635319058,0.13913443830570904,0.1712543576968433,0.0,30.0,0.0006187713723857516,0.009582623013442133,0.0038373924034236623
NmfL2Estimator,20,7,0.172252992314925,0.13176795580110495,0.16523299689561313,0.0,35.0,0.00037695678092739774,0.0035123814222395313,0.005479570850268432
NmfL2Estimator,20,8,0.17283831877424155,0.1167587476979742,0.14382568996064732,0.0,40.0,0.0003916829154252589,0.004735687245165299,0.010219923123620855
NmfL2Estimator,20,9,0.1742490370543211,0.10709023941068141,0.1240327280484433,0.0,45.0,0.00036012743694167676,0.007878176661586534,0.011789471935853852
