alg,n_components,noise_id,rre,acc_score,nmi_score,mean,sigma,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.16665818702125812,0.21454880294659298,0.28128011001178516,0.0,0.0,0.0005399033886219163,0.007147410081151023,0.02437252119009455
ModifiedNMF,50,1,0.14172714000616884,0.22882136279926335,0.3117813341450324,0.0,5.0,0.00011228926653974018,0.03211965354804771,0.029771898097792435
ModifiedNMF,50,2,0.1340062668108146,0.22360343769183547,0.2973176199322109,0.0,10.0,0.00018978875636326375,0.013314653914514417,0.03745935244179464
ModifiedNMF,50,3,0.12987624601968717,0.2315837937384899,0.3098658787700872,0.0,15.0,0.00012069532641872812,0.013835155802317435,0.02397353274071195
ModifiedNMF,50,4,0.13674210323209193,0.2323511356660528,0.30342068196307975,0.0,20.0,4.762170691020415e-05,0.022139377166422863,0.019717808643363293
ModifiedNMF,50,5,0.13492986343462665,0.2286678944137508,0.2971841673514631,0.0,25.0,7.408608858710565e-05,0.01023646786105114,0.01176653260775448
ModifiedNMF,50,6,0.14587850264478538,0.22099447513812157,0.2889345418496589,0.0,30.0,4.202561955204981e-05,0.004391985273558675,0.015629605800076104
ModifiedNMF,50,7,0.15151867413034634,0.20426642111724982,0.26108895121597403,0.0,35.0,6.037728674447218e-05,0.005375776515695829,0.019647710770984157
ModifiedNMF,50,8,0.15707518439880108,0.20518723143032536,0.26709812726273024,0.0,40.0,5.449132009161995e-05,0.008240266272964277,0.013336731214064848
ModifiedNMF,50,9,0.1536496225202307,0.20825659914057704,0.26377732325246356,0.0,45.0,4.015012770191512e-05,0.0053163008212672586,0.01318847039212825
NmfHyperEstimator,50,0,0.2703716300526163,0.17633517495395948,0.22679000342215974,0.0,0.0,0.19328403268626979,0.059075561445102905,0.07565266835513923
NmfHyperEstimator,50,1,0.15868316459551646,0.1979742173112339,0.2605051308892445,0.0,5.0,0.008287571036198023,0.009311118055320778,0.013235249374135285
NmfHyperEstimator,50,2,0.16731099539371327,0.16497851442602823,0.20730522066903892,0.0,10.0,0.002100922659104705,0.005092283616647355,0.010733556488885635
NmfHyperEstimator,50,3,0.14326953331514125,0.18799877225291586,0.24617688816420535,0.0,15.0,0.003125691095263614,0.012745269918351483,0.011001059489188126
NmfHyperEstimator,50,4,0.16437911793098828,0.13505217925107427,0.1662486055944683,0.0,20.0,0.009765632725985548,0.029010396465013546,0.0430253024938023
NmfHyperEstimator,50,5,0.16427306624564475,0.10896255371393493,0.12065170205267171,0.0,25.0,0.004920112783604537,0.017142494227938298,0.03421567153514761
NmfHyperEstimator,50,6,0.17302011738287915,0.10036832412523018,0.11281973378672645,0.0,30.0,0.0011377356194576943,0.0009208103130755076,0.004881392195026859
NmfHyperEstimator,50,7,0.17702940598761793,0.08317986494782074,0.0798052348293283,0.0,35.0,0.0019098694408462582,0.004657455772097464,0.006412595907255799
NmfHyperEstimator,50,8,0.17813168773523,0.09039287906691222,0.09632729533954619,0.0,40.0,0.0023803931014500447,0.007457047644724576,0.00771317588847992
NmfHyperEstimator,50,9,0.1745458044856527,0.08149171270718232,0.06945584704015068,0.0,45.0,0.0009043423681701665,0.002800535234943934,0.007533734586486002
NmfL1Estimator,50,0,0.32680543420651226,0.0865561694290976,0.08688521635170109,0.0,0.0,0.0013812437627101959,0.005582115862330635,0.0023335644356185206
NmfL1Estimator,50,1,0.29474942732055764,0.08594229588704727,0.08586926214216989,0.0,5.0,0.0021944429522436815,0.0033306529180802246,0.005044158352686325
NmfL1Estimator,50,2,0.2764767114166012,0.08333333333333333,0.08294668215207196,0.0,10.0,0.008560140613518166,0.0007974451231900918,0.0023549660801075413
NmfL1Estimator,50,3,0.3068792254447215,0.0816451810926949,0.08076803123257699,0.0,15.0,0.007747987553536595,0.004922963453758576,0.010835439223920431
NmfL1Estimator,50,4,0.3095355505065394,0.08041743400859423,0.07675653616596077,0.0,20.0,0.0013273862223034407,0.003133913114895976,0.0037642866380890746
NmfL1Estimator,50,5,0.27890762111075,0.08179864947820749,0.0763960466476563,0.0,25.0,0.00023009560433398654,0.0009584097603435209,0.007567622592975917
NmfL1Estimator,50,6,0.27184723455182674,0.0807243707796194,0.07385306374862188,0.0,30.0,0.00020615297594554484,0.0033306529180802203,0.00835977734413236
NmfL1Estimator,50,7,0.26022249242444256,0.08210558624923266,0.0736094282515413,0.0,35.0,0.00012646833060105025,0.0029955833787512465,0.007455341012421151
NmfL1Estimator,50,8,0.2520202509137237,0.08179864947820749,0.07523360622798862,0.0,40.0,0.00020758458437069208,0.0036928205695260833,0.0029402787982026413
NmfL1Estimator,50,9,0.23410836289643633,0.0847145488029466,0.08297106773235231,0.0,45.0,0.00011027511235535307,0.0016600143993848906,0.0025926386492803478
NmfL2Estimator,50,0,0.18187487682904205,0.23818293431553103,0.3127324994838035,0.0,0.0,0.0008605241801770353,0.014148253706563292,0.008158499151709703
NmfL2Estimator,50,1,0.1572381965549937,0.22790055248618782,0.3197804762487593,0.0,5.0,0.00091297357374542,0.004013719100866172,0.008578660904547484
NmfL2Estimator,50,2,0.14962866355370483,0.2222222222222222,0.3050702633882289,0.0,10.0,0.0008976126525784629,0.012910513678973662,0.007819969859034505
NmfL2Estimator,50,3,0.1453676708729284,0.20104358502148556,0.2749733722034191,0.0,15.0,0.0002706735917578174,0.0026179745410116685,0.006293488716027834
NmfL2Estimator,50,4,0.15141200354035736,0.19551872314303254,0.2633433904692692,0.0,20.0,0.0005007943928572312,0.009348983677420524,0.018941998503941224
NmfL2Estimator,50,5,0.1491887698159401,0.1821669736034377,0.2398656866917934,0.0,25.0,3.696333323905555e-05,0.012270754762210349,0.009272067474842192
NmfL2Estimator,50,6,0.15910803757168582,0.16160220994475138,0.2270488326794732,0.0,30.0,0.00031405871204541474,0.006875315157950308,0.019439775754219898
NmfL2Estimator,50,7,0.16419981857858856,0.16221608348680172,0.20187008772171797,0.0,35.0,0.00034425774726367097,0.0038611865025810596,0.005557072938337796
NmfL2Estimator,50,8,0.1688679631482163,0.14027010435850215,0.1949033777650854,0.0,40.0,0.00027406965689797855,0.004351579766346794,0.012488010566918466
NmfL2Estimator,50,9,0.16492603975801715,0.13213627992633517,0.16346652621449662,0.0,45.0,0.00017702674581589962,0.004534464917954021,0.00993328333777301
